id,Start_X,Start_Y,End_X,End_Y
,-115.346,50.604,-115.339,50.596
,-115.339,50.596,-115.321,50.608
,-115.339,50.610,-115.321,50.608
,-115.339,50.610,-115.346,50.604
,-115.190,50.649,-115.189,50.629
,-115.189,50.629,-115.154,50.627
,-115.154,50.627,-115.137,50.645
,-115.168,50.664,-115.190,50.649
,-115.168,50.664,-115.143,50.670
,-115.143,50.670,-115.137,50.645
,-114.950,50.574,-114.948,50.552
,-114.948,50.552,-114.934,50.536
,-114.934,50.536,-114.892,50.537
,-114.950,50.574,-114.895,50.573
,-114.895,50.573,-114.892,50.537
,-114.929,50.634,-114.927,50.618
,-114.927,50.618,-114.912,50.619
,-114.912,50.619,-114.911,50.635
,-114.929,50.634,-114.911,50.635
,-115.005,50.713,-114.980,50.734
,-114.980,50.734,-114.941,50.733
,-114.941,50.733,-114.951,50.697
,-114.951,50.697,-114.957,50.667
,-114.957,50.667,-115.002,50.667
,-115.002,50.667,-115.019,50.681
,-115.019,50.681,-115.005,50.713
,-114.542,50.390,-114.515,50.390
,-114.515,50.390,-114.521,50.363
,-114.521,50.363,-114.542,50.372
,-114.542,50.372,-114.542,50.390
,-114.865,50.327,-114.841,50.330
,-114.844,50.310,-114.866,50.310
,-114.841,50.330,-114.844,50.310
,-114.865,50.327,-114.866,50.310
,-114.736,50.021,-114.701,50.004
,-114.701,50.004,-114.703,49.985
,-114.703,49.985,-114.733,49.967
,-114.736,50.021,-114.733,49.967
,-114.621,49.713,-114.581,49.714
,-114.581,49.714,-114.577,49.672
,-114.577,49.672,-114.619,49.670
,-114.619,49.670,-114.621,49.713
,-114.953,49.475,-114.939,49.474
,-114.939,49.474,-114.931,49.445
,-114.931,49.445,-114.969,49.445
,-114.969,49.445,-114.953,49.475
,-115.295,49.587,-115.291,49.579
,-115.291,49.579,-115.260,49.576
,-115.260,49.576,-115.261,49.568
,-115.261,49.568,-115.265,49.558
,-115.265,49.558,-115.276,49.558
,-115.276,49.558,-115.291,49.567
,-115.291,49.567,-115.301,49.574
,-115.301,49.574,-115.295,49.587
,-114.547,49.186,-114.512,49.186
,-114.512,49.186,-114.510,49.151
,-114.510,49.151,-114.541,49.151
,-114.541,49.151,-114.547,49.186
,-114.266,49.403,-114.236,49.415
,-114.236,49.415,-114.228,49.400
,-114.228,49.400,-114.253,49.379
,-114.253,49.379,-114.266,49.403
,-114.120,49.456,-114.103,49.462
,-114.103,49.462,-114.088,49.450
,-114.088,49.450,-114.087,49.435
,-114.087,49.435,-114.117,49.434
,-114.117,49.434,-114.120,49.456
,-114.010,49.496,-113.993,49.496
,-113.993,49.496,-113.993,49.481
,-113.993,49.481,-114.010,49.481
,-114.010,49.481,-114.010,49.496
,-114.293,49.693,-114.282,49.700
,-114.282,49.700,-114.257,49.693
,-114.257,49.693,-114.242,49.738
,-114.242,49.738,-114.192,49.738
,-114.192,49.738,-114.182,49.663
,-114.182,49.663,-114.176,49.623
,-114.176,49.623,-114.269,49.600
,-114.269,49.600,-114.287,49.608
,-114.287,49.608,-114.294,49.625
,-114.294,49.625,-114.293,49.693
,-114.307,49.735,-114.286,49.730
,-114.286,49.730,-114.288,49.714
,-114.288,49.714,-114.307,49.735
,-114.115,49.720,-114.087,49.736
,-114.087,49.736,-114.069,49.715
,-114.069,49.715,-114.079,49.700
,-114.079,49.700,-114.114,49.690
,-114.114,49.690,-114.115,49.720
,-114.209,49.869,-114.190,49.867
,-114.190,49.867,-114.194,49.849
,-114.194,49.849,-114.212,49.852
,-114.212,49.852,-114.209,49.869
,-114.336,49.817,-114.321,49.817
,-114.321,49.817,-114.321,49.802
,-114.321,49.802,-114.336,49.802
,-114.336,49.802,-114.336,49.817
,-113.805,49.815,-113.774,49.813
,-113.774,49.813,-113.757,49.790
,-113.757,49.790,-113.779,49.771
,-113.779,49.771,-113.794,49.771
,-113.794,49.771,-113.823,49.797
,-113.823,49.797,-113.805,49.815
,-113.778,50.076,-113.763,50.076
,-113.763,50.076,-113.763,50.062
,-113.763,50.062,-113.777,50.062
,-113.778,50.076,-113.777,50.062
,-112.900,50.155,-112.854,50.157
,-112.854,50.157,-112.804,50.068
,-112.804,50.068,-112.805,50.035
,-112.805,50.035,-112.882,50.031
,-112.882,50.031,-112.908,50.059
,-112.908,50.059,-112.933,50.116
,-112.933,50.116,-112.900,50.155
,-113.290,49.907,-113.256,49.901
,-113.256,49.901,-113.284,49.877
,-113.284,49.877,-113.301,49.885
,-113.301,49.885,-113.290,49.907
,-113.671,50.594,-113.618,50.574
,-113.618,50.574,-113.644,50.550
,-113.644,50.550,-113.676,50.558
,-113.676,50.558,-113.671,50.594
,-112.749,52.413,-112.739,52.408
,-112.739,52.408,-112.714,52.417
,-112.714,52.417,-112.707,52.433
,-112.707,52.433,-112.730,52.437
,-112.730,52.437,-112.749,52.413
,-113.138,52.901,-113.115,52.872
,-113.115,52.872,-113.099,52.874
,-113.099,52.874,-113.092,52.891
,-113.092,52.891,-113.102,52.912
,-113.102,52.912,-113.138,52.901
,-112.687,53.398,-112.635,53.394
,-112.635,53.394,-112.630,53.331
,-112.630,53.331,-112.664,53.327
,-112.664,53.327,-112.687,53.398
,-113.170,53.418,-113.117,53.421
,-113.117,53.421,-113.118,53.399
,-113.118,53.399,-113.164,53.391
,-113.164,53.391,-113.170,53.418
,,,,
,-114.704,53.710,-114.726,53.694
,-114.726,53.694,-114.747,53.686
,-114.747,53.686,-114.748,53.642
,-114.748,53.642,-114.821,53.670
,-114.821,53.670,-114.859,53.657
,-114.859,53.657,-114.871,53.621
,-114.871,53.621,-114.870,53.581
,-114.870,53.581,-114.870,53.502
,-114.870,53.502,-114.853,53.391
,-114.853,53.391,-114.824,53.381
,-114.824,53.381,-114.850,53.363
,-114.850,53.363,-114.889,53.359
,-114.889,53.359,-114.892,53.327
,-114.892,53.327,-114.773,53.327
,-114.773,53.327,-114.745,53.386
,-114.745,53.386,-114.720,53.384
,-114.720,53.384,-114.716,53.330
,-114.716,53.330,-114.700,53.323
,-114.700,53.323,-114.672,53.323
,-114.672,53.323,-114.648,53.360
,-114.647,53.363,-114.638,53.447
,-114.638,53.447,-114.641,53.502
,-114.641,53.502,-114.590,53.507
,-114.590,53.587,-114.590,53.507
,-114.638,53.628,-114.590,53.587
,-114.638,53.628,-114.576,53.652
,-114.576,53.652,-114.555,53.676
,-114.555,53.676,-114.549,53.711
,-114.549,53.711,-114.519,53.712
,-114.519,53.712,-114.524,53.774
,-114.524,53.774,-114.548,53.768
,-114.548,53.768,-114.555,53.746
,-114.555,53.746,-114.623,53.670
,-114.623,53.670,-114.625,53.711
,-114.625,53.711,-114.704,53.710
,-114.660,53.829,-114.633,53.843
,-114.633,53.843,-114.635,53.799
