name,x,y
Manning,-117.087,56.956
Fairview,-117.544,56.118
Grimshaw,-117.107,56.218
Peace River,-116.946,56.254
Valleyview,-116.957,55.079
Beaverlodge,-118.187,55.286
Wembley,-118.028,55.222
High Level,-116.769,58.542
Grande Prairie,-117.849,55.232
Sexsmith,-117.808,55.399
Fort McMurray,-113.641,56.783
Lac la Biche,-113.879,54.796
Cold Lake,-112.828,54.516
Bonnyville,-113.142,54.326
St. Paul,-113.444,54.033
Elk PointL,-113.208,53.956
Two Hills,-113.699,53.739
Lamont,-114.316,53.763
Redwater,-114.529,53.956
Legal,-114.807,53.942
Morinville,-114.831,53.789
Bon Accord,-114.702,53.835
Gibbons,-114.647,53.809
Edmonton,-114.741,53.511
Calmar,-114.923,53.251
Leduc,-114.764,53.254
Tofield,-114.238,53.377
Vegreville,-113.879,53.516
Wainwright,-113.116,52.890
Provost,-112.722,52.427
Brooks,-113.651,50.579
Vauxhall,-113.771,50.070
Taber,-113.789,49.793
Medicine Hat,-112.866,50.090
Cardston,-114.529,49.163
Magrath,-114.245,49.395
Raymond,-114.106,49.445
Lethbridge,-114.239,49.668
Coaldale,-114.096,49.709
Fort Macleod,-114.604,49.693
Pincher Creek,-114.951,49.455
Nanton,-114.856,50.318
Vulcan,-114.531,50.380
Claresholm,-114.723,49.994
Picture Butte,-114.201,49.857
Three Hills,-114.557,51.687
Spruce Grove,-114.985,53.529
Springbrook,-114.949,52.163
Penhold,-114.940,52.119
Red Deer,-114.899,52.262
Blackfalds,-114.896,52.367
Lacombe,-114.859,52.454
Stettler,-114.238,52.319
Airdrie,-115.014,51.265
Calgary,-115.028,51.013
Crossfield,-115.036,51.396
Carstairs,-115.075,51.533
Didsbury,-115.103,51.635
Olds,-115.092,51.765
Bowden,-115.039,51.906
Innisfail,-114.999,52.006
Cochrane,-115.310,51.157
Canmore,-115.843,51.028
Banff,-116.003,51.144
High River,-114.920,50.554
Okotoks,-114.984,50.696
Millet,-114.716,53.083
Wetaskiwin,-114.660,52.960
Camrose,-114.328,53.005
Ponoka,-114.776,52.661
Sylvan Lake,-115.080,52.281
Rocky Mountain House,-115.594,52.348
Sundre,-115.420,51.774
Drumheller,-114.160,51.413
Hanna,-113.722,51.657
Bassano,-114.028,50.783
Alberta Beach - Val Quentin,-115.242,53.662
Athabasca,-114.638,54.718
Barrhead,-115.289,54.112
Westlock,-114.959,54.147
Mayerthorpe,-115.722,53.935
Lloydminster,-112.643,53.361
Vermilion,-113.144,53.405
Slave Lake,-115.512,55.264
Blairmore,-115.275,49.569
Beaumont,-114.693,53.345
Bow Island,-113.287,49.892
Hinton,-117.196,53.404
Edson,-116.510,53.576
Drayton Valley,-115.633,53.194
Devon,-114.878,53.342
Chestermere,-114.895,51.009
Coalhurst,-114.294,49.725
Whitecourt,-116.028,54.123
Stony Plain,-115.040,53.513
Strathmore,-114.626,51.029
Swan Hills,-115.874,54.701
Redcliff,-112.912,50.123
Rimbey,-115.173,52.617
Langdon,-114.804,50.945
Jasper,-117.519,52.889
Black Diamond,-115.177,50.637
Cardiff,-114.769,53.791
Grande Cache,-118.085,53.933
Grand Centre,-112.870,54.494
Fox Creek,-116.702,54.406
Fort Saskatchewan,-114.565,53.709
Coleman,-115.297,49.578
Clairmont,-117.747,55.307
High Prairie,-116.490,55.435
La Crète,-116.388,58.213
Nobleford,-114.330,49.809
Irricana,-114.761,51.303
Westlake,-117.807,55.339
Turner Valley,-115.339,50.603
Stirling,-114.003,49.490
Heritage Pointe,-114.921,50.624
Lancaster Park,-114.724,53.670
Carriage Lane Estates,-117.575,55.261
