Generator,Generator Name,Substation,Maximum Capability,Type
AB Newsprint (ANC1),ANC1,122S,63,GAS
Bantry (ALP1),ALP1,498S,7,GAS
Bellshill (BHL1),BHL1,137S,5,GAS
Benalto 1 (VBN1),VBN1,,5,GAS
Briker 1 (VBR1),VBR1,,5,GAS
Carson Creek (GEN5),GEN5,659S,15,GAS
Cloverbar #1 (ENC1),ENC1,987S,48,GAS
Cloverbar #2 (ENC2),ENC2,987S,101,GAS
Cloverbar #3 (ENC3),ENC3,987S,101,GAS
Crossfield Energy Centre #1 (CRS1),CRS1,653S,48,GAS
Crossfield Energy Centre #2 (CRS2),CRS2,653S,48,GAS
Crossfield Energy Centre #3 (CRS3)^,CRS3,653S,48,GAS
Drywood (DRW1),DRW1,415S,6,GAS
High River 1 (HRV1),HRV1,,10,GAS
High River 2 (HRV2),HRV2,,10,GAS
Judy Creek (GEN6),GEN6,824S,15,GAS
Kenilworth 1 (VKW1),VKW1,,5,GAS
Lethbridge Burdett (ME03),ME03,368S,7,GAS
Lethbridge Coaldale (ME04),ME04,254S,6,GAS
Lethbridge Taber (ME02),ME02,83S,8,GAS
NPC2 JL Landry (NPC2),NPC2,731S,9,GAS
NPC3 Elmworth (NPC3),NPC3,,9,GAS
Netook 1 (VNT1),VNT1,,5,GAS
Northern Prairie Power Project (NPP1),NPP1,944S,105,GAS
Northern Valley 1 (VNV1),VNV1,,5,GAS
Parkland (ALP2),ALP2,349S,10,GAS
Poplar Hill #1 (PH1),PH1,790S,48,GAS
Rainbow #5 (RB5),RB5,850S,50,GAS
Ralston (NAT1),NAT1,895S,20,GAS
South Edmonton Terminal (SET1),SET1,293S,20,GAS
Valley View 1 (VVW1),VVW1,881S,50,GAS
Valley View 2 (VVW2),VVW2,881S,50,GAS
West Cadotte (WCD1),WCD1,830S,20,GAS
West Pembina (PMB1)*,PMB1,477S,13,GAS
Wilson Creek (WLC1),WLC1,,9,GAS
Air Liquide Scotford #1 (ALS1),ALS1,408S,106,Cogeneration
AltaGas Harmattan (HMT1),HMT1,256S,45,Cogeneration
Base Plant (SCR1),SCR1,29EDD-2,856,Cogeneration
Bear Creek 1 (BCRK),BCRK,679S,64,Cogeneration
Bear Creek 2 (BCR2),BCR2,679S,36,Cogeneration
Blackfalds (BFD1),BFD1,198S,6,Cogeneration
CNRL Horizon (CNR5)*,CNR5,842S,203,Cogeneration
COD1 Coaldale (COD1),COD1,254S,5,Cogeneration
Camrose (CRG1)*,CRG1,285S,10,Cogeneration
Caroline (SHCG)*,SHCG,378S,19,Cogeneration
Carseland Cogen (TC01),TC01,269S,95,Cogeneration
