line,Start_X,Start_Y,End_X,End_Y
7L122,-117.880,58.528,-117.894,58.505
7L109,-117.880,58.528,-117.894,58.505
7L64,-117.894,58.505,-117.502,58.288
7L64,-117.502,58.288,-117.495,58.114
7L64,-117.495,58.114,-117.365,57.964
7L64,-117.365,57.964,-117.048,57.825
7L93,-117.894,58.505,-117.699,58.663
7L72,-117.699,58.663,-117.636,59.140
7L133,-117.699,58.663,-116.773,58.535
7L76,-116.773,58.535,-116.279,58.389
7L59,-117.048,57.825,-116.814,58.475
7L59,-116.814,58.475,-116.773,58.535
7L62,-117.048,57.825,-117.006,57.621
7L62,-117.006,57.621,-117.045,57.137
7L58,-117.048,57.825,-117.045,57.137
7L120,-117.059,57.118,-117.045,57.137
7L138,-117.059,57.118,-117.045,57.137
7L82,-118.227,57.459,-117.059,57.118
7L82,-118.329,57.849,-118.227,57.459
7L113,-117.894,58.505,-118.329,57.849
7L29,-117.859,58.538,-117.880,58.528
7L51,-117.059,57.118,-117.081,56.938
7L51,,,,
7L04,,,,
7L27,,,,
7L08,-116.747,56.293,-116.651,56.400
7L106,-117.045,57.137,-116.747,56.293
7L131,-117.045,57.137,-116.747,56.293
7L12,-116.747,56.293,-116.264,56.294
7L12,-116.264,56.294,-116.001,56.209
7L60,-116.001,56.209,-115.841,56.258
7L94,-115.841,56.258,-115.536,56.878
7L63,-116.001,56.209,-116.232,56.532
7L63,-116.501,56.890,-116.232,56.532
7L63,-117.059,57.118,-116.501,56.890
9L15,-116.747,56.293,-114.802,56.142
7L61,-116.001,56.209,-115.722,55.901
7L23,-115.722,55.901,-115.630,55.603
7L23,-115.630,55.603,-115.407,55.262
7L30,-115.407,55.262,-115.363,55.248
7L30,-115.407,55.262,-115.363,55.248
7L49,-115.407,55.262,-115.424,55.207
7L162,-115.407,55.262,-115.424,55.207
6L73,-115.529,55.272,-115.424,55.207
6L99,-115.850,55.309,-115.529,55.272
6L57,-115.850,55.309,-115.810,54.872
6L97,-115.810,54.872,-115.896,54.806
6L11,-115.896,54.806,-115.900,54.753
6L11,-115.900,54.753,-115.943,54.678
6L11,-115.943,54.678,-115.943,54.610
6L96,-115.810,54.872,-115.943,54.610
7L75,,,,
7L73,-117.743,55.801,-117.635,56.046
7L73,-117.635,56.046,-117.536,56.104
7L10,-118.147,55.805,-117.901,55.813
7L10,-117.901,55.813,-117.743,55.801
6L16,-117.874,56.488,-117.645,56.327
6L37,-117.645,56.327,-117.536,56.104
7L68,-117.743,55.801,-117.760,55.309
7L39,-117.760,55.309,-117.806,55.339
7L39,-117.806,55.339,-117.801,55.235
7L22,-117.806,55.339,-117.963,55.521
7L22,-117.963,55.521,-118.070,55.416
7L07,-118.070,55.416,-118.288,55.367
7L101,-118.070,55.416,-118.049,55.375
7L03,-118.070,55.021,-117.860,55.185
7L84,-117.860,55.185,-117.801,55.235
7L33,-117.860,55.185,-117.892,55.126
7L33,-117.892,55.126,-117.798,55.108
7L44,-117.860,55.185,-117.798,55.108
7L45,-117.798,55.108,-117.795,55.079
7L45,-117.795,55.079,-116.918,54.950
7L46,-117.798,55.108,-116.918,54.950
7L13,-117.798,55.108,-117.781,55.129
7L13,-117.781,55.129,-117.743,55.136
7L13,-117.743,55.136,-117.702,55.134
7L228,-117.798,55.108,-117.838,54.523
7L20,-117.889,54.447,-117.838,54.523
7L20,-117.889,54.447,-118.074,54.059
7L80,-118.074,54.059,-117.950,54.158
7L80,-117.950,54.158,-117.264,54.439
7L40,-116.918,54.950,-117.264,54.439
7L55,-115.975,54.603,-115.943,54.610
7L43,-115.896,54.806,-115.975,54.603
7L78,-115.949,54.559,-115.936,54.576
7L19,-115.975,54.603,-115.949,54.559
7L67,-115.943,54.610,-115.904,54.532
7L67,-115.949,54.559,-115.904,54.532
6L126,-115.943,54.610,-115.887,54.488
526L,-115.887,54.488,-116.018,54.464
526L,-116.018,54.464,-116.055,54.314
519L,-116.055,54.314,-116.020,54.301
519L,-116.020,54.301,-115.980,54.331
526L,-116.055,54.314,-116.074,54.263
526L,-116.074,54.263,-116.070,54.158
9L02,-115.975,54.603,-116.918,54.950
9L05,-115.975,54.603,-116.918,54.950
7L56,-116.918,54.950,-116.600,54.696
7L56,-116.600,54.696,-116.149,54.587
7L56,-116.149,54.587,-115.975,54.603
685L,-116.592,54.149,-116.606,53.789
864L,-116.592,54.149,-116.551,54.126
864L,-116.551,54.126,-116.526,54.095
864L,-116.526,54.095,-116.519,54.049
720L,-116.585,54.320,-116.592,54.149
199L,-116.585,54.320,-116.339,54.278
199L,-116.339,54.278,-116.070,54.158
7L199,-116.725,54.407,-116.585,54.320
7L90,-116.725,54.407,-116.803,54.392
7L90,-116.918,54.950,-116.803,54.392
7L01,-116.918,54.950,-116.853,54.912
9L11,-116.747,56.293,-116.918,54.950
9L40,-115.407,55.262,-115.975,54.603
799L,-115.983,54.067,-115.747,53.903
799L,-115.747,53.903,-115.639,53.565
744L,-115.920,53.583,-115.639,53.565
744L,-116.144,53.604,-115.920,53.583
744L,-116.325,53.588,-116.144,53.604
890L,-116.539,53.570,-116.325,53.588
671L,-116.612,53.533,-116.539,53.570
740L,-116.612,53.533,-116.539,53.570
854L,-116.612,53.533,-116.708,53.674
854L,-116.708,53.674,-116.606,53.789
503L,-116.089,54.134,-116.070,54.158
