id,Start_X,Start_Y,End_X,End_Y
,-118.160,60.119,-116.796,60.044
,-116.796,60.044,-115.402,60.020
,-116.796,60.044,-116.873,57.537
,-118.320,57.986,-116.873,57.537
,-118.320,57.986,-118.160,60.119
,-116.873,57.537,-115.358,57.073
,-115.358,57.073,-115.402,60.020
,-118.320,57.986,-118.444,56.324
,,,,
,,,,
,-116.532,55.551,-116.318,55.459
,-116.318,55.459,-115.335,55.457
,-115.358,57.073,-115.335,55.457
,,,,
,,,,
,,,,
,-116.564,51.600,-116.594,51.613
,,,,
,-118.618,53.893,-118.589,53.860
,-118.589,53.860,-118.552,53.861
,-118.552,53.861,-118.576,53.796
,-118.576,53.796,-118.532,53.797
,-118.532,53.797,-118.532,53.776
,-118.532,53.776,-118.506,53.789
,-118.506,53.789,-118.459,53.689
,-118.459,53.689,-118.490,53.669
,-118.490,53.669,-118.587,53.707
,-118.587,53.707,-118.554,53.637
,-118.554,53.637,-118.581,53.605
,-118.581,53.605,-118.556,53.580
,-118.556,53.580,-118.538,53.597
,-118.538,53.597,-118.527,53.581
,-118.527,53.581,-118.510,53.567
,-118.510,53.567,-118.513,53.538
,-118.513,53.538,-118.499,53.520
,-118.499,53.520,-118.502,53.497
,-118.502,53.497,-118.484,53.480
,-118.484,53.480,-118.481,53.463
,-118.481,53.463,-118.461,53.461
,-118.461,53.461,-118.450,53.439
,-118.450,53.439,-118.405,53.435
,-118.409,53.454,-118.405,53.435
,-118.409,53.454,-118.369,53.432
,-118.369,53.432,-118.357,53.436
,-118.357,53.436,-118.319,53.420
,-118.319,53.420,-118.296,53.429
,-118.296,53.429,-118.259,53.395
,-118.259,53.395,-118.266,53.371
,-118.266,53.371,-118.250,53.359
,-118.250,53.359,-118.258,53.348
,-118.258,53.348,-118.228,53.306
,,,,
,-118.211,53.235,-118.199,53.245
,-118.210,53.261,-118.211,53.235
,-118.228,53.306,-118.210,53.261
,-118.199,53.245,-118.158,53.237
,-118.158,53.237,-118.145,53.246
,-118.145,53.246,-118.133,53.215
,-118.133,53.215,-118.114,53.214
,-118.114,53.214,-118.097,53.204
,-118.097,53.204,-118.089,53.181
,-118.089,53.181,-118.076,53.175
,-118.076,53.175,-118.062,53.195
,-118.062,53.195,-118.076,53.213
,-118.076,53.213,-118.050,53.252
,-118.050,53.252,-118.071,53.271
,-118.071,53.271,-118.059,53.283
,-118.059,53.283,-118.025,53.282
,-118.025,53.282,-118.008,53.269
,-118.008,53.269,-118.006,53.256
,-118.006,53.256,-117.994,53.254
,-117.994,53.254,-117.929,53.197
,-117.929,53.197,-117.929,53.181
,-117.929,53.181,-117.895,53.155
,-117.895,53.155,-117.923,53.118
,-117.923,53.118,-117.929,53.098
