Geographic name,Geographic area type,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Airdrie,Medium population centre,Alta.,"73,578","61,082",20.5,"26,853","26,124",33.03,"2,227.30"
Alberta Beach - Val Quentin,Small population centre,Alta.,"1,103","1,327r",-16.9,"1,051",528,1.69,651.2
Athabasca,Small population centre,Alta.,"1,181","1,250",-5.5,602,521,2.03,581.1
Banff,Small population centre,Alta.,"8,305","7,851",5.8,"3,287","2,930",4.08,"2,033.80"
Barrhead,Small population centre,Alta.,"4,055","4,387",-7.6,"1,874","1,731",4.73,857.4
Bassano,Small population centre,Alta.,"1,186","1,201r",-1.2,583,531,1.33,894.9
Beaumont,Small population centre,Alta.,"20,779","17,396",19.4,"7,124","6,907",10.4,"1,998.20"
Beaverlodge,Small population centre,Alta.,"2,251","2,440r",-7.7,"1,010",914,3.33,676.4
Black Diamond,Small population centre,Alta.,"2,574","2,552",0.9,"1,174","1,120",2.15,"1,199.00"
Blackfalds,Small population centre,Alta.,"10,315","9,161r",12.6,"3,895","3,727",8.93,"1,155.40"
Blairmore,Small population centre,Alta.,"1,522","1,545",-1.5,896,731,2.04,747.7
Bon Accord,Small population centre,Alta.,"1,451","1,529",-5.1,585,550,2.13,682.1
Bonnyville,Small population centre,Alta.,"6,359","5,858r",8.6,"2,964","2,518",6.4,994
Bow Island,Small population centre,Alta.,"1,829","1,773",3.2,655,609,1.3,"1,402.40"
Bowden,Small population centre,Alta.,"1,275","1,240",2.8,621,583,2.82,452.9
Brooks,Small population centre,Alta.,"14,904","14,436",3.2,"5,483","5,134",12.78,"1,166.20"
Calgary,Large urban population centre,Alta.,"1,305,550","1,240,413r",5.3,"530,846","502,138",621.72,"2,099.90"
Calmar,Small population centre,Alta.,"1,883","1,986r",-5.2,803,766,1.33,"1,418.30"
Camrose,Small population centre,Alta.,"18,454","18,520",-0.4,"8,604","8,003",17.1,"1,079.30"
Canmore,Small population centre,Alta.,"13,268","12,021r",10.4,"7,199","5,514",12.96,"1,023.70"
Cardiff,Small population centre,Alta.,"1,033","1,167r",-11.5,395,379,0.98,"1,056.20"
Cardston,Small population centre,Alta.,"3,519","3,389r",3.8,"1,268","1,197",3.88,907.3
Carriage Lane Estates,Small population centre,Alta.,"1,094","1,008r",8.5,336,321,1.34,814.7
Carstairs,Small population centre,Alta.,"3,660","3,080",18.8,"1,405","1,366",4.76,769.6
Chestermere,Small population centre,Alta.,"21,425","19,477r",10,"6,654","6,483",8.99,"2,382.50"
Clairmont,Small population centre,Alta.,"2,808","2,411r",16.5,"1,133","1,041",4.16,675.1
Claresholm,Small population centre,Alta.,"3,434","3,424",0.3,"1,641","1,532",2.68,"1,279.60"
Coaldale,Small population centre,Alta.,"8,592","8,153",5.4,"3,272","3,181",5.84,"1,470.90"
Coalhurst,Small population centre,Alta.,"2,818","2,623",7.4,"1,038","1,008",1.76,"1,598.60"
Cochrane,Medium population centre,Alta.,"31,638","25,501r",24.1,"12,341","11,882",23.71,"1,334.60"
Cold Lake,Small population centre,Alta.,"7,201","6,795r",6,"3,022","2,808",5.71,"1,262.10"
Coleman,Small population centre,Alta.,"1,441","1,475",-2.3,907,722,1.99,722.8
Crossfield,Small population centre,Alta.,"3,579","2,973",20.4,"1,375","1,320",3.99,895.9
Devon,Small population centre,Alta.,"6,545","6,578",-0.5,"2,588","2,496",14.26,459.1
Didsbury,Small population centre,Alta.,"5,024","5,206r",-3.5,"2,138","2,028",5.43,925
Drayton Valley,Small population centre,Alta.,"6,970","6,867",1.5,"3,105","2,762",7.22,965.6
Drumheller,Small population centre,Alta.,"6,497","6,439",0.9,"3,096","2,804",9.48,685.2
Edmonton,Large urban population centre,Alta.,"1,151,635","1,070,998r",7.5,"484,165","449,923",627.2,"1,836.20"
Edson,Small population centre,Alta.,"8,166","8,148",0.2,"3,684","3,306",10.7,762.9
Elk Point,Small population centre,Alta.,"1,394","1,437",-3,677,586,2.26,617
Fairview,Small population centre,Alta.,"2,427","2,598",-6.6,"1,183","1,051",2.26,"1,072.30"
Fort Macleod,Small population centre,Alta.,"3,038","2,718r",11.8,"1,356","1,261",2.28,"1,330.40"
Fort McMurray,Medium population centre,Alta.,"68,002","67,123r",1.3,"28,670","24,505",52.17,"1,303.50"
Fort Saskatchewan,Small population centre,Alta.,"26,831","23,944r",12.1,"10,779","10,306",21.85,"1,228.10"
Fox Creek,Small population centre,Alta.,"1,426","1,730r",-17.6,834,574,1.36,"1,048.20"
Gibbons,Small population centre,Alta.,"2,989","2,973r",0.5,"1,187","1,108",4.78,625.8
Grand Centre,Small population centre,Alta.,"7,514","7,256",3.6,"3,390","2,968",18.07,415.8
Grande Cache,Small population centre,Alta.,"3,037","3,286",-7.6,"1,370","1,120",3.72,815.4
Grande Prairie,Medium population centre,Alta.,"63,172","62,382r",1.3,"27,098","24,514",49.74,"1,270.20"
Grimshaw,Small population centre,Alta.,"2,519","2,599",-3.1,"1,185","1,040",4.13,609.7
Hanna,Small population centre,Alta.,"2,234","2,332",-4.2,"1,187","1,031",2.29,975.4
Heritage Pointe,Small population centre,Alta.,"1,974","2,075",-4.9,726,707,4.78,412.7
High Level,Small population centre,Alta.,"3,461","2,746r",26,"1,271","1,151",2.68,"1,289.30"
High Prairie,Small population centre,Alta.,"2,065","2,264",-8.8,969,810,2.37,872.7
High River,Small population centre,Alta.,"14,119","13,420",5.2,"5,854","5,698",10.13,"1,394.00"
Hinton,Small population centre,Alta.,"9,191","9,205",-0.2,"4,140","3,759",12.97,708.4
Innisfail,Small population centre,Alta.,"7,016","6,937r",1.1,"3,271","2,966",5.23,"1,342.10"
Irricana,Small population centre,Alta.,"1,135","1,160",-2.2,456,444,1.14,996.7
Jasper,Small population centre,Alta.,"4,029","3,948",2.1,"1,776","1,586",1.84,"2,189.00"
La Crète,Small population centre,Alta.,"2,911","2,739r",6.3,"1,125","1,063",3.02,963.3
Lac la Biche,Small population centre,Alta.,"2,138","2,294",-6.8,991,819,2.94,726.2
Lacombe,Small population centre,Alta.,"12,835","12,740r",0.7,"5,203","4,927",11.87,"1,081.00"
Lamont,Small population centre,Alta.,"1,328","1,347",-1.4,564,519,1.93,687.4
Lancaster Park,Small population centre,Alta.,"1,253","1,501",-16.5,469,439,0.92,"1,366.90"
Langdon,Small population centre,Alta.,"5,193","5,060",2.6,"1,693","1,667",4.32,"1,203.40"
Leduc,Medium population centre,Alta.,"33,505","29,561r",13.3,"13,207","12,684",67.43,496.9
Legal,Small population centre,Alta.,"1,164","1,251r",-7,459,425,1.79,649.6
Lethbridge,Medium population centre,Alta.,"92,563","89,309r",3.6,"40,434","37,989",64,"1,446.20"
Lloydminster,Medium population centre,Alta.,"19,739","19,645",0.5,"8,529","7,635",16.85,"1,171.10"
Magrath,Small population centre,Alta.,"2,308","2,235r",3.3,770,744,2.7,853.6
Manning,Small population centre,Alta.,"1,027","1,072",-4.2,503,441,1.37,748.1
Mayerthorpe,Small population centre,Alta.,"1,171","1,205",-2.8,524,467,1.29,908.6
Medicine Hat,Medium population centre,Alta.,"63,382","63,111r",0.4,"28,666","27,162",53.2,"1,191.50"
Millet,Small population centre,Alta.,"1,847","1,905",-3,814,776,2.18,846.7
Morinville,Small population centre,Alta.,"10,385","9,848",5.5,"3,981","3,768",11.15,931
Nanton,Small population centre,Alta.,"1,984","1,970r",0.7,915,871,1.56,"1,272.80"
Nobleford,Small population centre,Alta.,"1,438","1,278",12.5,462,446,0.98,"1,473.80"
Okotoks,Medium population centre,Alta.,"30,214","28,833",4.8,"10,666","10,398",17.23,"1,753.30"
