x,y,substation,voltage
-117.636,59.140,795S,138/144
-117.699,58.663,828S,138/144
-117.880,58.528,791S,138/144
-117.502,58.288,747S,138/144
-117.495,58.114,748S,138/144
-117.365,57.964,779S,138/144
-117.048,57.825,789S,138/144
-117.045,57.137,905S,138/144
-117.059,57.118,788S,138/144
-117.006,57.621,797S,138/144
-118.227,57.459,855S,138/144
-118.329,57.849,853S,138/144
-117.894,58.505,930S,138/144
-117.859,58.538,850S,138/144
-116.773,58.535,786S,138/144
-116.814,58.475,890S,138/144
-116.279,58.389,832S,138/144
-117.081,56.938,927S,138/144
-116.972,56.256,793S,138/144
-116.869,56.395,839S,138/144
-116.747,56.293,834S,"240"
-116.651,56.400,830S,138/144
-117.536,56.104,800S,138/144
-117.635,56.046,829S,138/144
-117.743,55.801,730S,138/144
-117.901,55.813,2033S,138/144
-118.147,55.805,754S,138/144
-117.760,55.309,811S,138/144
-117.806,55.339,728S,138/144
-117.801,55.235,722S,138/144
-116.501,56.890,783S,138/144
-116.232,56.532,812S,138/144
-116.001,56.209,780S,138/144
-116.264,56.294,869S,138/144
-115.841,56.258,827S,138/144
-115.536,56.878,878S,138/144
-114.802,56.142,876S,"240"
-114.533,56.400,939S,"500"
-115.722,55.901,796S,138/144
-115.630,55.603,858S,138/144
-115.407,55.262,732S,"240"
-115.363,55.248,844S,138/144
-115.424,55.207,729S,138/144
-115.529,55.272,"745",69/72
-115.850,55.309,727S,69/72
-115.810,54.872,735S,69/72
-115.896,54.806,739S,138/144
-115.943,54.610,743S,69/72
-115.900,54.753,854S,69/72
-115.943,54.678,742S,69/72
-117.645,56.327,724S,69/72
-117.874,56.488,861S,69/72
-117.963,55.521,865S,138/144
-118.070,55.416,790S,138/144
-118.049,55.375,944S,138/144
-118.288,55.367,815S,138/144
-118.399,55.499,886S,138/144
-118.318,55.131,731S,138/144
-118.070,55.021,823S,138/144
-117.860,55.185,749S,138/144
-117.798,55.108,845S,138/144
-117.892,55.126,758S,138/144
-116.918,54.950,813S,"240"
-117.795,55.079,798S,138/144
-117.781,55.129,679S,138/144
-117.743,55.136,752S,138/144
-117.702,55.134,808S,138/144
-117.838,54.523,2091S,138/144
-117.889,54.447,810S,138/144
-118.074,54.059,740S,138/144
-117.950,54.158,857S,138/144
-117.264,54.439,733S,138/144
-115.975,54.603,809S,"240"
-115.949,54.559,851S,138/144
-115.936,54.576,785S,138/144
-115.904,54.532,824S,138/144
-115.887,54.488,515S,69/72
-116.018,54.464,638S,69/72
-116.070,54.158,268S,138/144
-116.074,54.263,887S,69/72
-116.055,54.314,659S,69/72
-116.020,54.301,996S,69/72
-115.980,54.331,661S,69/72
-116.600,54.696,725S,138/144
-116.149,54.587,738S,138/144
-116.725,54.407,741S,138/144
-116.803,54.392,2018S,138/144
-116.585,54.320,347S,138/144
-116.339,54.278,259S,138/144
-116.551,54.126,346S,138/144
-116.526,54.095,551S,138/144
-116.519,54.049,355S,138/144
-116.592,54.149,397S,138/144
-116.606,53.789,1012S,138/144
-116.853,54.912,881S,138/144
-116.612,53.533,39S,"240"
-116.708,53.674,348S,138/144
-116.539,53.570,58S,138/144
-116.325,53.588,207S,138/144
-116.144,53.604,228S,138/144
-115.920,53.583,106S,138/144
-115.639,53.565,235S,138/144
-115.747,53.903,443S,138/144
-115.983,54.067,77S,"240"
-116.033,54.100,364S,138/144
-116.089,54.134,323S,69/72
-115.855,54.127,701S,138/144
-116.126,54.132,122S,"240"
-115.337,54.142,69S,"240"
-115.342,53.775,338S,"240"
-115.339,53.543,19S,"240"
-115.491,53.567,165S,138/144
-115.365,53.489,310P,"240"
-115.227,53.354,510S,"500"
-115.311,53.435,320P,"240"
-114.715,53.428,89S,"500"
-114.816,53.446,DOME,"240"
-114.853,53.489,805S,"240"
-114.811,53.475,PETROLIA,"240"
-114.952,53.468,367S,"240"
-114.859,53.467,RIVERVIEW,"240"
-114.850,53.537,POUNDMAKER,"240"
-114.835,53.593,37S,"240"
-115.116,53.538,432S,138/144
-115.050,53.542,105S,138/144
-115.018,53.515,434S,138/144
-114.929,53.507,305S,138/144
-114.740,53.476,ARGYLL,"240"
-114.740,53.498,BELLAMY,"240"
-114.647,53.454,45S,138/144
-114.640,53.595,987S,"240"
-114.706,53.457,657S,"240"
-114.697,53.488,LAMBTON,"240"
-114.699,53.520,"EAST
INDUSTRIAL","240"
-114.670,53.539,38S,"240"
-114.702,53.536,133S,138/144
-114.709,53.560,"AT
PLASTIC
4RS",138/144
-114.748,53.558,"AT
PLASTIC
5RS",138/144
-114.702,53.584,95S,138/144
-114.623,53.537,293S,138/144
-114.616,53.561,216S,138/144
-114.580,53.560,317S,138/144
-114.609,53.585,184S,138/144
-114.618,53.600,185S,138/144
-114.646,53.570,286S,138/144
-114.730,53.303,289S,"240"
-114.724,53.007,86S,"240"
-114.734,52.685,288S,"240"
-114.585,52.687,429S,138/144
-114.766,52.685,331S,138/144
-114.656,52.959,40S,138/144
-114.615,52.982,6500S,138/144
-114.377,52.987,542S,138/144
-114.498,53.365,522S,138/144
-114.292,53.281,197S,138/144
-114.295,53.025,285S,138/144
-114.292,53.190,301S,138/144
-114.368,53.189,299S,138/144
-114.873,53.344,14S,138/144
-114.746,53.347,155S,138/144
-114.805,53.232,325SL,138/144
-114.752,53.299,149S,138/144
-114.934,53.236,538S,138/144
-114.975,52.968,964S,138/144
-115.319,53.463,867S,69/72
-115.180,53.384,866S,69/72
-115.182,53.417,868S,69/72
-115.187,53.357,330p,"500"
-115.435,53.512,21S,138/144
-115.398,53.518,635S,138/144
-115.372,53.520,821S,69/72
-115.353,53.557,2739S,69/72
-115.321,53.559,352S,69/72
-115.204,52.238,17S,"240"
-115.294,53.179,384S,138/144
-114.827,50.941,102S,"500"
-114.827,50.922,520S,"500"
-114.827,50.967,511S,"500"
-114.939,50.984,74S,"240"
-114.935,50.943,SS-25,"240"
-114.943,50.882,SS-65,"240"
-115.113,50.979,42S,"240"
-115.012,50.998,5S,"240"
-115.026,50.998,SS-2,138/144
-115.113,50.938,SS-35,138/144
-115.115,50.877,SS-6,138/144
-115.055,50.877,SS-41,138/144
-114.993,50.822,SS-54,138/144
-114.996,50.870,SS-26,138/144
-114.967,50.926,SS-24,138/144
-114.999,50.933,SS-31,138/144
-115.030,50.879,SS-40,138/144
-115.030,50.921,SS-32,138/144
-115.037,50.970,SS-9,138/144
-115.057,50.922,SS-33,138/144
-115.061,50.952,SS-43,138/144
-114.972,50.978,SS-23,138/144
-115.099,50.997,SS-28,138/144
-115.077,50.995,SS-10,138/144
-115.054,50.997,SS-12,138/144
-115.187,51.074,44S,138/144
-115.114,51.025,SS-21,138/144
-115.156,51.079,SS-36,138/144
-115.114,51.073,SS-16,69/72
-115.069,51.063,SS-27,69/72
-115.037,51.053,SS-13,138/144
-115.009,51.052,SS-22,138/144
-114.969,51.070,SS-39,138/144
-114.968,51.041,SS-38,138/144
-114.963,51.014,SS-37,138/144
-115.042,51.008,SS-5,138/144
-115.047,51.033,SS-3,138/144
-115.064,51.027,SS-8,138/144
-115.064,51.010,SS-1,138/144
-115.087,51.024,SS-20,138/144
-115.116,51.044,SS-15,69/72
-115.106,51.052,SS-34,69/72
-115.129,51.098,SS-14,138/144
-115.039,51.097,SS-11,138/144
-114.973,51.150,SS-162,"240"
-114.959,51.178,CALGARY ENERGY CENTER CEC,"240"
-115.070,51.136,SS-47,138/144
-114.919,51.405,64S,"240"
-115.032,51.414,316S,138/144
-115.010,51.373,653S,138/144
-115.032,51.357,284S,138/144
-115.003,51.309,199S,138/144
-115.023,51.220,186S,138/144
-114.991,51.181,391S,138/144
-115.018,51.182,"BALZAC
CO-GEN",138/144
-114.927,52.028,287S,"240"
-114.941,52.213,63S,"240"
-114.426,52.376,766S,"240"
-114.860,52.282,87S,"240"
-114.881,52.219,247S,138/144
-114.755,52.288,535S,138/144
-114.732,52.267,536S,138/144
-114.780,52.372,276S,138/144
-114.743,52.371,332S,138/144
-114.729,52.308,482S,138/144
-114.827,52.491,212S,138/144
-114.881,52.388,198S,138/144
-114.911,52.300,217S,138/144
-114.930,52.300,RD14S,138/144
-114.930,52.253,194S,138/144
-114.943,52.253,RD15S,138/144
-114.882,52.283,209S,138/144
-115.092,52.209,580S,138/144
-115.157,52.292,297S,138/144
-115.254,52.325,534S,138/144
-115.575,52.354,262S,138/144
-115.754,52.210,263S,138/144
-115.728,52.010,581S,138/144
-115.469,51.983,634S,138/144
-115.494,51.941,378S,138/144
-115.827,51.787,304S,138/144
-115.435,51.884,575S,138/144
-115.375,51.895,412S,138/144
-115.417,51.940,531S,138/144
-115.314,51.656,256S,138/144
-115.191,51.652,281S,"240"
-115.246,51.690,238S,138/144
-115.691,52.631,68S,"240"
-115.867,52.893,62S,"240"
-115.998,52.946,294S,138/144
-116.184,52.929,445S,138/144
-116.215,52.920,358S,138/144
-116.227,53.023,477S,138/144
-116.095,53.159,489S,138/144
-116.019,53.268,178S,138/144
-115.978,53.238,359S,138/144
-115.831,53.139,61S,138/144
-115.642,53.159,283S,138/144
-115.552,52.996,454S,138/144
-115.637,53.402,131S,138/144
-116.735,53.199,414S,138/144
-116.863,53.172,426S,138/144
-116.719,53.041,527S,138/144
-117.094,53.073,101S,138/144
-117.050,53.048,983S,69/72
-117.106,53.044,302S,69/72
-116.676,53.409,406S,138/144
-117.049,53.371,1029S,138/144
-117.191,53.376,602S,138/144
-117.300,53.290,104S,138/144
-117.494,52.959,2085S,69/72
-117.046,53.514,975S,138/144
-117.098,53.589,411S,138/144
-116.461,52.289,250P,138/144
-115.110,51.770,55S,138/144
-115.025,52.006,214S,138/144
-115.456,51.196,20S,138/144
-115.326,51.192,T793S,138/144
-115.315,51.140,291S,138/144
-115.665,51.087,245S,138/144
-115.679,51.109,3S,138/144
-115.461,51.096,43S,138/144
-115.317,51.009,272S,138/144
-115.897,51.043,33S,138/144
-115.749,51.033,985S,138/144
-115.779,51.029,437S,138/144
-115.886,51.065,35S,138/144
-116.000,51.160,123S,138/144
-116.079,51.137,945S,69/72
-116.380,51.405,953S,69/72
-115.954,51.207,29S,138/144
-115.956,51.173,177S,138/144
-115.858,51.068,118S,138/144
-115.678,51.057,2S,138/144
-115.668,51.001,32S,138/144
-115.732,50.917,115S,138/144
-115.713,50.665,48S,138/144
-115.734,50.602,49S,138/144
-115.602,50.214,978S,138/144
-115.420,49.608,"CRANBROOK
B2S","500"
-115.312,49.602,799S,138/144
-114.814,50.567,237S,"240"
-115.006,49.480,632S,138/144
-115.022,49.457,239S,138/144
-114.936,49.481,396SL,138/144
-114.990,49.276,379S,69/72
-115.012,49.274,502S,69/72
-114.855,49.285,415S,69/72
-114.836,49.259,995S,69/72
-114.582,49.319,229S,69/72
-114.698,49.277,"BELLAMY RIVER
CHUTE HYDRO",69/72
-114.515,49.252,"SAINT MARY
HYDRO",69/72
-114.420,49.265,385S,69/72
-114.261,49.401,225S,138/144
-114.255,49.311,"TAYLOR
HYDRO
PLANT",69/72
-114.130,49.393,313S,69/72
-114.006,49.488,67S,138/144
-113.817,49.275,344S,69/72
-115.550,49.700,NATAL,138/144
-114.908,49.482,103S,"240"
-114.876,49.481,383S,138/144
-114.966,49.522,205S,"240"
-114.870,49.536,312S,"240"
-114.854,49.546,354S,138/144
-114.887,49.548,112S,138/144
-114.921,49.528,806S,138/144
-114.718,49.612,59S,"240"
-114.657,49.614,138S,"240"
-114.749,50.136,266S,"240"
-114.233,49.711,370S,"240"
-114.677,49.505,243S,138/144
-114.629,49.455,1063S,138/144
-114.635,49.641,528S,138/144
-114.617,49.556,418S,138/144
-114.611,49.519,240S,138/144
-114.593,49.696,15S,138/144
-114.266,49.636,674S,138/144
-114.251,49.589,618S,138/144
-114.241,49.667,111S,138/144
-114.180,49.542,314S,138/144
-114.302,49.411,226S,138/144
-114.195,49.654,593S,138/144
-114.194,49.694,146S,138/144
-114.206,49.723,241S,138/144
-114.328,49.811,492S,138/144
-114.749,50.820,525S,138/144
-114.724,50.788,269S,138/144
-114.947,50.691,678S,138/144
-114.917,50.629,142S,138/144
-114.944,50.571,65S,138/144
-115.164,50.596,512S,138/144
-115.167,50.658,392S,138/144
-114.601,50.581,253S,138/144
-114.523,50.345,255S,138/144
-114.385,50.586,504S,138/144
-114.212,50.509,356S,"240"
-114.403,50.828,179S,138/144
-114.464,51.005,428S,138/144
-114.492,50.982,CAVALIER,138/144
-114.158,50.954,431S,138/144
-114.615,51.014,151S,138/144
-114.807,51.014,419S,138/144
-114.600,50.140,928S,138/144
-114.599,50.025,604S,138/144
-114.738,50.138,349S,138/144
-113.736,50.557,28S,"240"
-113.740,50.529,324S,"240"
-113.727,50.501,2075S,"240"
-113.651,50.561,121S,138/144
-113.688,50.749,339S,138/144
-113.685,50.625,227S,138/144
-113.490,50.504,498S,138/144
-113.173,50.260,895S,138/144
-112.726,50.232,244S,"240"
-113.143,49.633,251S,"240"
-113.221,49.665,1018S,"240"
-113.871,50.763,435S,138/144
-113.684,50.880,132SL,"240"
-113.774,50.107,158S,138/144
-113.973,50.269,447S,138/144
-113.559,50.088,421S,138/144
-113.790,49.988,257S,138/144
-113.786,49.811,83S,138/144
-113.667,49.818,336S,138/144
-113.393,49.828,368S,138/144
-113.650,49.698,134S,138/144
-113.660,49.524,135S,138/144
-113.900,49.685,139S,138/144
-114.071,49.797,254S,138/144
-113.924,49.657,315S,138/144
-113.357,49.684,107S,138/144
-112.892,50.006,523S,138/144
-112.847,49.810,404S,138/144
-112.833,50.040,MHS-3,138/144
